year	wages	gini  	cpi	GDPR 	GDPRTC 	GDPRPC	GDPAGR	GDPMIN	GDPMAN	GDPGOV	GDPCON	GDPCOM	GDPUT	GDPFS	GDPFISH	GDPTR	GDPHME	GDPPS	GDPAGRTC	GDPMINTC	GDPMANTC	GDPGOVTC	GDPCONTC	GDPCOMTC	GDPUTTC	GDPFSTC	GDPFISHTC	GDPTRTC	GDPHMETC	GDPPSTC	CNOM	GNOM	FBKFNOM	XNOM	MNOM	EGDPNOM	RESTNOM	FBKFMREAL	FBKFCREAL	SK_MAQ	SK_INF	SK_TOT	IFTNCOP	IFT	IF03	IFGDP03	IC	ICGDP	ICT	ITGDP	GFTNARM	GFT	GF03	GFGDP03	GFPC03	GFC	GFCBBSS	GFK	IPCTC	TCNUSD	TCNLIB	TCREAL	IPX	IPM	COP_LOND	RICNAC	INTNOM	INTREAL	CIRCNOM_A	DXPUSNOM	DXP/PIB	KACCNOM	KACCREAL	KACC/PIB	PASHIPNOM	PASHIPREAL	PASHIP/PIB	POBTOT	TCH1564	TCT65	FTT	NACCORR	MORT 	EMP	TDESEMP	ESUPEST	ESUPPRIV	ESC
1940.00	26.63	0.57	0.00	4894315.69	3.29	966682.93	291410.19	770641.71	623165.82	378717.83	427530.83	392597.70	90931.01	283541.54	25432.34	236676.86	522480.23	834454.05	-7.16	5.07	15.73	-6.00	-0.63								0.01	0.00	0.00	0.00	0.00	0.02	9.05	85435.39	596470.00	849.51	13583.31	14432.82	3016.60	3016.60	660524850910.01	13.50	2526.80	11.30	2194.10	9.82	2487.00	2487.00	544561859117.28	11.13	107557.15	1962.00	1381.00	525.00	9.10	0.00	0.00	84.53	12.75	12.83	0.11	27.38	8.35	-0.69	0.00	347.00	43.24	0.00	436255.11	8.91	0.00	200781.62	4.10	5063000.00	1.63	1.84	1841953.56	180315.00	107871.00	1745.73	5.22	4558.00	1844.00	4.17
1941.00	26.64	0.56	0.00	4902179.74	0.16	952064.43	266503.11	899607.54	857476.16	436320.47	512954.86	375249.80	74022.35	281720.63	20808.28	243975.27	476049.05	796701.38	-8.55	16.73	37.60	15.21	19.98	-4.42	-18.60	-0.64	-18.18	3.08	-8.89	-4.52	0.01	0.00	0.00	0.01	0.00	0.02	22.07	81536.57	590749.00	867.75	13869.54	14737.28	3668.80	3668.80	652347465389.08	13.31	2983.80	10.82	2600.80	9.43	3235.00	3235.00	575213707624.75	11.73	111713.67	2580.00	1859.00	655.00	23.14	0.00	0.00	83.15	12.96	13.49	0.11	27.78	8.38	-11.99	0.00	347.00	38.73	0.00	407583.69	8.31	0.00	173015.00	3.53	5149000.00	1.45	2.76	1875362.98	179578.00	100091.00	1762.54	6.02	4533.00	1761.00	4.21
1942.00	25.06	0.55	0.00	5063603.33	3.29	965599.41	276591.39	796456.25	827760.99	434756.60	448886.84	412458.62	93937.00	281980.76	17655.51	228205.50	518337.68	874603.73	3.79	-11.47	-3.47	-0.36	-12.49	9.92	26.90	0.09	-15.15	-6.46	8.88	9.78	0.02	0.00	0.00	0.01	0.00	0.03	15.21	67028.24	467716.00	880.41	14142.26	15022.67	4264.70	4264.70	604132748654.09	11.93	3391.40	9.49	2799.20	7.83	3810.00	3810.00	539720442791.31	10.66	102921.52	3052.00	2259.00	758.00	25.52	0.00	0.00	75.06	14.26	17.25	0.11	28.83	8.57	-13.50	0.00	346.00	30.06	0.00	361961.84	7.15	0.00	164691.04	3.25	5244000.00	1.60	2.92	1912126.87	184712.00	104122.00	1794.45	6.15	4541.00	1791.00	4.24
1943.00	28.02	0.55	0.00	5208526.47	2.86	975196.87	329149.76	828791.24	918743.20	455868.88	461755.20	407756.85	109718.41	284321.92	15343.48	256486.82	515921.18	917450.02	19.00	4.06	10.99	4.86	2.87	-1.14	16.80	0.83	-13.10	12.39	-0.47	4.90	0.03	0.00	0.00	0.01	0.00	0.04	8.58	67266.71	506838.00	877.32	14284.42	15161.74	5972.20	5972.20	784615758985.05	15.06	4856.50	12.25	3594.90	9.07	5683.00	5683.00	746621238121.97	14.33	139790.53	3712.00	2778.00	1971.00	7.83	0.00	0.00	78.60	14.84	20.11	0.11	29.79	10.28	2.28	0.00	335.00	28.40	0.00	401383.88	7.71	0.00	184386.67	3.54	5341000.00	1.62	2.93	1949701.95	186887.00	103235.00	1825.26	6.38	4439.00	1955.00	4.26
1944.00	27.88	0.54	0.00	5307107.91	1.89	975571.31	311717.42	828042.99	970105.18	463688.24	555940.67	437994.09	95439.99	297588.55	13241.63	265088.51	526450.19	933030.49	-5.30	-0.09	5.59	1.72	20.40	7.42	-13.01	4.67	-13.70	3.35	2.04	1.70	0.03	0.00	0.01	0.01	0.00	0.04	18.05	52088.14	593541.00	874.48	14461.14	15335.62	6173.80	6173.80	705284311851.32	13.29	5025.70	10.82	4119.50	8.87	6071.00	6071.00	693540616354.49	13.07	127489.08	4205.00	3047.00	1866.00	15.00	0.00	0.00	77.14	15.20	21.61	0.11	30.53	9.01	-5.21	0.00	325.00	26.66	0.00	395530.74	7.45	0.00	198045.78	3.73	5440000.00	1.63	2.95	1988089.46	189912.00	103054.00	1851.88	6.85	4551.00	2210.00	4.29
1945.00	30.20	0.53	0.00	5765048.19	8.63	1040434.61	291436.32	764067.81	998639.62	554392.86	598515.78	487849.06	91306.76	316317.90	12611.08	301059.23	566494.92	1074453.23	-6.51	-7.73	2.94	19.56	7.66	11.38	-4.33	6.29	-4.76	13.57	7.61	15.16	0.03	0.00	0.01	0.01	0.01	0.05	10.00	64565.39	617340.00	856.45	14719.18	15575.64	7394.60	7394.60	784305396642.96	13.60	6400.30	11.78	5526.80	10.17	7049.00	7049.00	747649465953.02	12.97	134930.42	4795.00	3467.00	2254.00	7.71	0.00	0.00	71.45	15.38	22.34	0.11	32.74	9.07	1.26	0.00	317.00	21.68	0.00	410568.48	7.12	0.00	199206.24	3.46	5541000.00	1.65	2.96	2027293.22	193026.00	107064.00	1910.03	5.78	4779.00	2307.00	4.34
1946.00	27.22	0.53	0.00	6258938.39	8.57	1109150.88	345301.47	880901.35	1011758.90	546834.14	769637.63	551647.20	96191.48	332706.08	21438.83	306793.69	600671.03	1073254.73	18.48	15.29	1.31	-1.36	28.59	13.08	5.35	5.18	70.00	1.90	6.03	-0.11	0.04	0.01	0.01	0.01	0.01	0.06	11.30	97988.88	846442.00	852.12	14993.71	15845.83	8269.30	8269.30	674238719760.60	10.77	7155.10	9.32	6153.90	8.02	8198.00	8198.00	668425262670.04	10.68	118452.11	5744.00	4180.00	2454.00	30.08	0.00	0.00	64.82	17.87	25.75	0.14	35.07	9.25	-16.01	0.00	296.00	14.76	0.00	376935.34	6.02	0.00	164598.68	2.63	5643000.00	1.62	2.95	2066737.09	192013.00	93547.00	1965.67	4.89	5725.00	1147.00	4.37
1947.00	27.64	0.52	0.00	5585719.84	-10.76	971767.54	289946.60	773046.79	1002968.98	599484.52	737603.62	474230.14	90931.01	325422.44	17024.95	283986.17	508326.49	1051681.77	-16.03	-12.24	-0.87	9.63	-4.16	-14.03	-5.47	-2.19	-20.59	-7.43	-15.37	-2.01	0.06	0.01	0.01	0.01	0.01	0.08	1.60	166934.86	871124.00	881.32	15489.60	16370.93	11512.50	11512.50	762630980785.66	13.65	9554.10	11.33	8731.20	10.35	11652.00	11652.00	771871981595.18	13.82	134285.31	8379.00	5899.00	3273.00	23.08	0.00	0.00	64.52	23.49	31.82	0.23	32.33	9.26	-11.23	0.00	293.00	12.70	0.01	343395.89	6.15	0.00	138175.89	2.47	5748000.00	1.67	2.98	2107575.39	202586.00	92481.00	1926.16	8.61	5939.00	2295.00	4.44
1948.00	28.74	0.52	0.00	6512764.53	16.60	1112532.38	355023.85	948190.20	1186901.29	563515.45	613300.71	496198.75	112348.65	346232.83	14082.37	320869.18	591350.28	1196100.75	22.44	22.66	18.34	-6.00	-16.85	4.63	23.55	6.39	-17.28	12.99	16.33	13.73	0.06	0.01	0.01	0.01	0.01	0.09	13.29	159160.30	762653.00	976.88	15997.19	16974.07	17004.20	17004.20	964244112364.73	14.81	16056.50	13.98	14629.10	12.74	14547.00	14547.00	824905558777.82	12.67	140913.15	10812.00	7449.00	3735.00	16.82	0.00	0.00	65.65	25.83	32.81	0.24	36.11	9.69	-6.10	0.00	295.00	10.15	0.01	318699.73	4.89	0.00	123253.26	1.89	5854000.00	1.66	2.97	2148870.43	205130.00	97670.00	2029.01	5.58	5287.00	2840.00	4.50
1949.00	28.72	0.52	0.00	6372124.49	-2.16	1068789.75	360015.72	871387.92	1316257.40	631283.26	615764.86	524085.10	114978.88	181310.50	11770.34	301450.21	596355.87	1185613.89	1.41	-8.10	10.90	12.03	0.40	5.62	2.34	-47.63	-16.42	-6.05	0.85	-0.88	0.08	0.01	0.02	0.01	0.01	0.11	11.46	194642.27	859572.00	1056.65	16382.95	17439.60	17633.50	17633.50	829112242414.58	13.01	17001.30	12.55	15772.60	11.64	15689.00	15689.00	737683498525.10	11.58	123730.88	11990.00	8823.00	3699.00	20.60	0.00	0.00	54.21	26.42	33.86	0.22	35.34	10.07	-8.73	0.00	281.00	8.44	0.01	280551.92	4.40	0.00	101270.19	1.59	5962000.00	1.68	2.98	2190990.62	206059.00	103384.00	2038.04	6.98	6719.00	3193.00	4.56
