"","Comuna","subsidiada","decil","escolaridad","ingreso","mater_aceptable","sanea_aceptable","calidad_aceptable","sin_allega_int","sin_allega_ext","sin_hacina"
"1","Iquique",-0.00691476707355275,-0.833333333333333,0.0917562656140593,0.129988557998294,0.0812465876573654,-0.048473834018533,0.02497636878098,0.00658068876692172,-0.0320540338520687,0.0219530321860358
"2","Alto Hospicio",0.132007912379223,1,0.0449866851834348,0.158727364730201,0.282258813998074,-0.0177274938464667,0.246663453107387,-0.1532166128082,-0.0498201064918842,0.114717443155867
"3","Pozo Almonte",-0.390755476047719,0.333333333333333,0.0916036862855315,0.3592684178235,0.250309263914733,-0.138811286823464,0.0410001206658567,0.0190533393683536,0.0221935481988786,-0.149820194960939
"4","Camiña",0.0479202196407132,-0.75,0.241999107794231,0.601454653970258,3.48346398824106,-0.372185145574801,0.874543080939948,-0.118923076923077,0,0.284630363778831
"5","Huara",0.894840880336836,0,0.240370276700085,0.371889951685021,1.51152193938938,0.0267885120902459,0.573360616860678,-0.135204101548946,0.00631499517885357,0.0518018496092091
"6","Pica",-0.828330541333396,-0.444444444444445,0.140897928069483,0.327342299812502,0.0862321539113319,-0.0567103796065888,0.187227882236208,-0.00475584195714488,-0.0781413798445389,0.235138230031323
"7","Antofagasta",0.069258736112945,-0.4,0.124966069539362,0.0648580351208396,0.116837388801045,-0.0952517135286439,0.000658207196830582,0.38846683668443,-0.102326104053251,0.065345100449188
"8","Mejillones",-0.0247193089161237,0,0.036460122801379,-0.0932811135719728,0.215129303726598,-0.0285384333305845,0.167315468659789,0.142902363749919,-0.0229649549459852,0.101067429477226
"9","Sierra Gorda",1.23591836734694,2,0.0755154770626308,-0.324737691621372,0.558165314337116,-0.00307078966845603,0.498979843047588,0.533143739798656,0.0245033959451617,0.114819653257723
"10","Taltal",0.873223034495933,0,0.0585793886607632,-0.240184798652495,0.348517734414215,-0.0125333358585359,0.370325312753348,-0.118840083080678,0.137011779293242,0.328334816203415
"11","Calama",0.462584809421921,2,0.097679276254767,-0.137271473065543,0.215264633540371,-0.00294214104092171,0.172606064996925,0.441940070370585,-0.0318117086640499,0.129403049389853
"12","San Pedro de Atacama",8.44693956919371,-0.833333333333333,0.132178726356447,-0.306807365745044,3.30342859494834,0.0242377375605434,1.74003698806875,0.484632985180243,0.0117729157601934,0.131988581030438
"13","Tocopilla",0.373591610235118,1,0.0728619072352365,-0.280996187429806,0.301460882053508,-0.167923525908421,0.0248520966145043,0.273913188088385,-0.0725240548965038,0.0740713434383424
"14","Copiapó",-0.11561351442885,0.5,0.0713442395367755,0.0821696965328803,0.0880533769252957,0.0113426492607268,0.125211816108116,0.128465380436825,-0.0691333378022042,0.102148104791109
"15","Caldera",0.669206542561709,0,0.0852166220303734,-0.151079688237713,0.31173204596822,-0.00803481754268498,0.241368802160807,0.292240776292174,-0.00482089052561097,0.00712802428608955
