"";"district";"maha";"nlp";"ppl";"cc";"ach";"mdp";"sm";"le";"as";"rs";"we";"ad";"vt";"ac";"lt";"cfo";"mahaR";"z"
"1";"NUNOA";6,86592725;12,24643213;208237;2;"0.13";"0.23";"0.1754";7,659707724;485635,1729;0,018199779;0,305855222;"0.8982";0,615815206;0,578048089;31,1216545;9083,146683;50,8443726370681;1,96605662707717
"2";"ALTO HOSPICIO";4,15871931;11,59335271;108375;1;"0.44";"0.66";"0.21829999999999999";9,77779781;352071,8117;0,529725567;0,171722383;"0.82889999999999997";0,370277865;0,035275663;35,7576878;905,4339193;18,6693039688263;0,102678846543219
"3";"ANCUD";4,49916838;10,57108613;38991;1;"0.59";"0.66";"0.43990000000000001";11,57508773;638416,6449;0,521638843;1;"0.82699999999999996";0,461975835;0,153317432;32,92119003;2399,464158;22,4773891878932;0,32321921140631
"4";"ANGOL";3,45489643;10,88297841;17754;1;"0.42";"0.34";"0.2366";8,705468228;291866,4339;0,35338593;0,322431326;"0.92810000000000004";0,52183908;0,273872555;31,54490798;776,6241598;12,7286681760335;-0,241365446032326
"5";"ANTOFAGASTA";4,54534725;12,7990486;90468,25;4;"0.51";"0.65";"0.48039999999999999";11,9971392;525579,6145;0,417220368;0,132513376;"0.91759999999999997";0,437355176;0,167401271;35,7948201;1376,128007;21,1847836639668;0,248359622539063
"6";"ARAUCO";3,28404995;10,49838775;36257;0;"0.52";"0.37";"0.26319999999999999";9,709881941;542955,1257;0,369474085;0,131243809;"0.87690000000000001";0,569463549;2,76e-05;33,80868002;410,5496649;10,9158567760017;-0,346352090130838
"7";"ARICA";3,61990082;12,30756368;73788;2;"0.73";"0.66";"0.41389999999999999";12,08909914;607278,9152;0,391585246;0,308640873;"0.86699999999999999";0,433821138;0,070088181;32,16051236;2582,719758;13,6541266650211;-0,187768706178648
"8";"AYSEN";3,64518056;10,08409932;7986,333333;1;"0.5";"0.59";"0.34429999999999999";9,754537633;376157,1465;0,460199215;0,396535246;"0.91420000000000001";0,432345361;0,050294253;32,26885928;1341,945156;14,7432379068846;-0,124694227316036
"9";"BUIN";3,55810381;11,47847894;48307;0;"0.46";"0.36";"0.35039999999999999";8,818524971;349570,4217;0,55752746;0;"0.9173";0,527725069;0,013062289;32,05865616;518,1791045;14,1574452396622;-0,158619657323873
"10";"BULNES";2,24300126;9,97548258;0;1;"0.44";"0.38";"0.41049999999999998";10,01084576;387955,704;0,390943941;0;"0.86519999999999997";0,557294928;0;35,18900439;0;6,00149653779069;-0,630960951974874
"11";"CANETE";1,97303598;10,44978649;34537;0;"0.59";"0.52";"0.3427";11,18671883;377725,9308;0,471320792;0;"0.86199999999999999";0,49573055;0,068187741;34,38861136;158,6824275;5,91075323238633;-0,636216233968712
"12";"CABRERO";3,64897718;10,26021749;28573;2;"0.44";"0.67";"0.3538";9,614909782;571566,2267;0,478934641;0,4777072;"0.94520000000000004";0,564685315;0,111958842;32,40262942;0;13,3849510482286;-0,203357666331754
"13";"CALAMA";2,65842023;12,01812127;82865,5;1;"0.49";"0.47";"0.33810000000000001";10,73744031;386963,6909;0,352770055;0,088660298;"0.84850000000000003";0,456548485;0,016768136;31,60237933;407,3828059;8,18534416416545;-0,504486221337386
"14";"CALBUCO";5,1121171;10,43367453;33985;1;"0.56999999999999995";"0.33";"0.52580000000000005";11,34054978;458657,4112;0,401747554;1;"0.93049999999999999";0,424916107;0,098131529;33,88674571;121,2299544;29,6303814628678;0,737475572657675
"15";"CALERA";2,4018823;10,83079735;25277;1;"0.48";"0.57999999999999996";"0.27810000000000001";10,52373832;400726,3361;0,57527879;0,158197434;"0.87290000000000001";0,521481481;0,044506864;33,59114277;87,91478419;6,499925160625;-0,602095098398987
"16";"CALERA DE TANGO";2,96637421;10,14218944;25392;0;"0.52";"0.6";"0.24479999999999999";10,04689308;386052,7722;0,487423323;0;"0.7984";0,613924051;0,027095148;34,16002012;0;9,14417443760382;-0,448956797445531
"17";"CARAHUE";2,53687637;10,10777443;8177,666667;1;"0.41";"0.53";"0.49020000000000002";8,991011692;433088,2929;0,509001176;0;"0.84660000000000002";0,501085776;0,13602087;36,14790664;611,4213508;8,44783661450057;-0,489284308186688
"18";"CARTAGENA";3,38931017;10,03179281;22738;2;"0.65";"0.59";"0.20619999999999999";11,92614502;398691,8311;0,423235041;0;"0.75929999999999997";0,573426573;0,068035887;36,28116546;564,1129387;12,9083879027506;-0,230957208867665
"19";"CASABLANCA";3,22891772;10,19865405;26867;1;"0.28999999999999998";"0.38";"0.41439999999999999";9,518402836;314637,1416;0,404101666;0;"0.78200000000000003";0,571428571;0,175494101;35,88447481;121,6604012;11,9707667250958;-0,285258335215362
