geocode;x_coor;y_coor;y;ols_residual;mgwr_yhat;mgwr_residual;localR2;beta_Intercept;beta_womanjh;beta_infants;beta_senior;beta_migrants;beta_land_value;beta_home40pp;beta_overcrowd;beta_no_college;se_Intercept;se_womanjh;se_infants;se_senior;se_migrants;se_land_value;se_home40pp;se_overcrowd;se_no_college;t_Intercept;t_womanjh;t_infants;t_senior;t_migrants;t_land_value;t_home40pp;t_overcrowd;t_no_college;p_Intercept;p_womanjh;p_infants;p_senior;p_migrants;p_land_value;p_home40pp;p_overcrowd;p_no_college;sumW_Intercept;sumW_womanjh;sumW_infants;sumW_senior;sumW_migrants;sumW_land_value;sumW_home40pp;sumW_overcrowd;sumW_no_college
13101011001;-70.731;-33.805;1.172224785;0.901805768;1.126385205;0.04583958;0.847417624;0.076952341;-0.26968402;-0.790606614;0.264861272;0.061478328;-0.01694672;-0.299809062;0.981600357;0.132067658;0.055197947;0.187326622;0.085548413;0.086479224;0.046003845;0.021746108;0.06324657;0.081696505;0.063328109;1.394116008;-1.439645988;-9.241628041;3.062715637;1.336373691;-0.779298977;-4.740321261;12.01520627;2.08545083;0.163471076;0.150158078;7.28E-20;0.002228995;0.181612201;0.435915849;2.32E-06;6.17E-32;0.037182394;37.38137543;23.81766553;28.23606152;31.87146789;26.75376563;1000.215557;56.00493779;26.31784697;1000.215557
13101011002;-70.717;-33.804;1.14606244;1.095023982;0.827820096;0.318242344;0.802219312;0.062632083;-0.266411815;-0.769393959;0.26216149;0.058546793;-0.017036904;-0.290390859;0.875602044;0.132202993;0.055225333;0.187685735;0.086339906;0.087021475;0.046114318;0.021750134;0.063325833;0.089309774;0.063326584;1.134118701;-1.419456917;-8.91122075;3.012606821;1.269601198;-0.78330112;-4.585661903;9.804100991;2.087638165;0.256910204;0.155955541;1.31E-18;0.00262972;0.204406517;0.433563199;4.87E-06;4.30E-22;0.036984205;35.80373277;23.54204064;26.53866039;30.25529762;25.64275449;1013.635518;54.52750643;25.17198324;1013.635518
13101011003;-70.727;-33.81;0.696707974;0.509255719;1.012277445;-0.315569471;0.848866461;0.07763458;-0.273894022;-0.793765611;0.264290683;0.062671927;-0.016951779;-0.300463103;1.011834176;0.132064772;0.05523852;0.186916697;0.085919754;0.086733069;0.045961158;0.02174622;0.063331695;0.081315574;0.063327456;1.405442801;-1.465326676;-9.238453045;3.047173196;1.363584599;-0.77952762;-4.744277;12.44330112;2.085426773;0.160078705;0.143023144;7.49E-20;0.002346855;0.17288514;0.435781244;2.27E-06;4.93E-34;0.037184579;36.65748243;23.64975117;27.52954207;31.39366677;26.49391262;996.8586502;54.54797191;26.02591245;996.8586502
13101011004;-70.745;-33.815;2.57151497;2.189338237;1.524954154;1.046560817;0.876847862;0.100036806;-0.296102818;-0.832780282;0.2662897;0.069535135;-0.016816391;-0.312566097;1.19439944;0.131855192;0.055278175;0.185579783;0.08495837;0.085909974;0.045769039;0.021740228;0.063188441;0.072718664;0.063329141;1.80969807;-1.595555365;-9.802215905;3.099636612;1.519261418;-0.77351492;-4.946570766;16.42493642;2.082061909;0.070525287;0.110780417;4.38E-22;0.001970461;0.128889105;0.439328977;8.33E-07;3.00E-56;0.037491242;37.45738533;23.06777403;28.9682746;32.98441779;27.64799046;973.317003;56.39083843;27.30706996;973.317003
13101011005;-70.74;-33.811;0.850036341;0.638598115;1.106045435;-0.256009095;0.870032062;0.092073553;-0.284025189;-0.816668956;0.266117069;0.066302105;-0.016865085;-0.308068892;1.117556141;0.131934959;0.055380171;0.186292835;0.085199232;0.086240417;0.045858743;0.021742413;0.063209348;0.075522602;0.063328815;1.662572582;-1.524616815;-9.585402807;3.08575814;1.445789862;-0.775676805;-4.873786876;14.79763816;2.083332209;0.096588764;0.127547154;3.27E-21;0.002064226;0.148426866;0.438051471;1.20E-06;1.32E-46;0.037375218;37.22419503;23.45708387;28.75349192;32.58073656;27.27975993;983.5774156;56.28564035;26.94863554;983.5774156
13101021001;-70.643;-33.834;0.781074565;0.715367954;-0.083479321;0.864553885;0.711922466;0.016332918;-0.261179636;-0.691911178;0.240424032;0.056667644;-0.017320571;-0.253054965;0.746132376;0.13257088;0.053095511;0.187707822;0.08280964;0.082936541;0.046292333;0.021763247;0.063297727;0.089814497;0.063318534;0.30761391;-1.391415838;-8.355442461;2.898891488;1.224125893;-0.795863368;-3.997852351;8.307482642;2.093713655;0.758415123;0.164287726;1.37E-16;0.00379455;0.221080242;0.426226423;6.68E-05;2.02E-16;0.036438439;24.28387802;14.43828766;16.59079622;21.13518467;15.81040589;1009.673792;43.31936284;15.64939166;1009.673792
13101021002;-70.736;-33.821;-0.302732276;-0.263524302;-0.326123006;0.02339073;0.873916948;0.096267932;-0.298310425;-0.828371659;0.265950981;0.069589522;-0.016851411;-0.310941682;1.194750695;0.131894719;0.055360325;0.185553626;0.085230465;0.087041769;0.045810168;0.02174161;0.063310406;0.074048187;0.063327911;1.738933644;-1.607677695;-9.719196767;3.055440906;1.519084633;-0.775076529;-4.91138347;16.13477299;2.082726514;0.082233738;0.108097921;9.50E-22;0.002283467;0.128933591;0.438405973;9.94E-07;1.78E-54;0.037430501;36.4869972;22.90716156;28.26003267;31.67637587;26.71022267;973.7866374;54.44461653;26.51922211;973.7866374
13101021003;-70.763;-33.853;-0.269397928;-0.214155536;-0.015997655;-0.253400273;0.890295241;0.143045048;-0.396075113;-0.919751869;0.26631999;0.088766497;-0.016548427;-0.336719002;1.530096388;0.131390707;0.055414046;0.17927657;0.083885015;0.08710344;0.045582147;0.021728323;0.063409414;0.067071851;0.063328655;2.581386081;-2.209296587;-10.9644359;3.057514034;1.947396143;-0.761606254;-5.310236816;22.81279516;2.074743356;0.009926413;0.027291531;4.78E-27;0.002267821;0.051657414;0.446404344;1.24E-07;2.69E-100;0.038165676;34.85251904;21.15151833;28.36109259;31.15443615;26.9555806;906.2389172;52.068033;26.92105776;906.2389172
13101021004;-70.75;-33.863;1.570170656;1.182033803;1.297237828;0.272932827;0.889058402;0.138578514;-0.391607522;-0.910647929;0.266066898;0.088201402;-0.016601031;-0.335641652;1.539542837;0.131450701;0.055704064;0.17950489;0.084200766;0.08746686;0.045630366;0.021730372;0.063615004;0.067581574;0.063327048;2.487763068;-2.181598075;-10.81519765;3.041916664;1.932954058;-0.763955232;-5.276139773;22.78051158;2.075743375;0.012953432;0.029280519;2.20E-26;0.00238799;0.053413514;0.445003614;1.49E-07;4.71E-100;0.038072916;33.44982712;21.24315171;27.21369902;30.14561945;25.79578884;906.0988838;49.11165348;25.62459125;906.0988838
13101021005;-70.875;-33.872;14.14048818;12.36482855;10.20364497;3.936843212;0.895713768;0.187385259;-0.537906665;-1.151850657;0.237691504;0.133974328;-0.015550675;-0.369840444;1.862576825;0.129925109;0.050943695;0.173806184;0.082445997;0.076364395;0.046666961;0.021693355;0.063411468;0.071554207;0.063335043;3.678281636;-3.094864941;-13.97097136;3.112595929;2.870860339;-0.716840468;-5.83239046;26.03029088;2.051393725;0.000242375;0.002002248;5.35E-42;0.001886455;0.004146008;0.473574425;6.57E-09;2.34E-125;0.040386867;34.64530104;14.37609107;19.42668568;29.88599364;18.10120261;745.5544877;49.01022123;17.90681303;745.5544877
