Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
ALHUÉ_ALBALALHUE;-34.035999;-71.097596;68;68
ALHUÉ_ESCUELA BARRANCAS DE PICHI;-33.98230249;-71.0620188;26;26
ALHUÉ_ESCUELA EL ASIENTO;-34.02985824;-71.00524013;21;21
ALHUÉ_ESCUELA HACIENDA ALHUE;-34.03091203;-71.21936959;43;43
ALHUÉ_ESCUELA SAN ALFONSO;-34.02826259;-71.09655025;43;43
ALHUÉ_LAS BRUJITAS DE PICHI;-33.987509;-71.063757;32;32
ALHUÉ_LAS UVITAS;-34.02399906;-71.11384743;33;33
ALHUÉ_LICEO MUNICIPAL SARA TRONCOSO TRONCOSO;-34.03346611;-71.09913674;106;106
BUIN_ALTOS DE PEHUÉN;-33.740536;-70.678798;45;45
BUIN_COLEGIO ALTO DEL VALLE;-33.73157859;-70.77296766;120;120
BUIN_COLEGIO BUIN;-33.741166;-70.74124999;77;77
BUIN_COLEGIO CAMPANARIO;-33.76028;-70.73548;167;167
BUIN_COLEGIO DE MAIPO;-33.73442362;-70.77826756;50;50
BUIN_COLEGIO INGLES SAN JOSE DE LINDEROS;-33.76234;-70.74215;23;23
BUIN_COLEGIO SAINT JAMES SCHOOL;-33.733354;-70.75487;56;56
BUIN_COLEGIO SAINT MARY COLLEGE;-33.72914398;-70.7396947;67;67
BUIN_COLEGIO SAN FERNANDO DE BUIN;-33.73415;-70.75959;51;51
BUIN_COLEGIO SAN ISIDRO;-33.760725;-70.74182;210;210
BUIN_ESC ESP. CENTROS DE RETOS MULTIPLES LUZ Y ESP;-33.73753;-70.741165;6;6
BUIN_ESC. DE PARV. Y ESP. PUKARAY;-33.73355183;-70.74223478;256;256
BUIN_ESC. PART. PABLO APOSTOL DE BUIN;-33.72909569;-70.74678237;37;37
BUIN_ESC. PARV.Y ESP MUNDOPALABRA DE BUIN;-33.77136999;-70.74124;125;125
BUIN_ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN;-33.71460812;-70.67967766;89;89
BUIN_ESCUELA BASICA COLEGIO SAN FERNANDO DE BUIN-ORIENTE;-33.73532999;-70.720161;60;60
BUIN_ESCUELA BASICA G-N°813 LOS AROMOS DE EL RECURSO;-33.68853638;-70.69262198;40;40
BUIN_ESCUELA BÁSICA N 149 SAN MARCEL;-33.713862;-70.74229207;102;102
BUIN_ESCUELA ESP. ARCOIRIS DE BUIN;-33.732025;-70.78363;91;91
BUIN_ESCUELA ESP. MI MUNDO EN PALABRAS DE BUIN;-33.72698599;-70.77439;187;187
BUIN_ESCUELA ESPECIAL DE LENGUAJE EL CANELO;-33.73015999;-70.74115;58;58
