SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201027	50	9.50	15.57	116.04	1.00	1206953.80	21221.92	3.95
201028	32	12.68	13.99	112.64	1.00	1295346.60	21227.57	3.99
201029	22	8.77	12.57	76.08	1.50	1274094.80	21227.57	4.06
201030	23	8.60	9.58	108.37	1.50	1332535.60	21227.57	4.03
201031	10	6.43	13.64	102.85	1.50	1227820.80	21227.57	4.03
201032	40	10.39	14.92	87.14	1.60	1278103.80	21235.76	4.00
201033	43	8.89	19.03	105.89	2.00	1288375.80	21264.47	4.00
201034	57	7.28	11.87	100.08	2.00	1301930.40	21293.21	4.05
201035	72	9.19	17.56	83.49	2.00	1238175.60	21321.99	4.09
201036	44	8.77	17.83	106.77	2.00	1292421.40	21349.85	4.08
201037	37	9.00	17.02	100.98	2.00	1347399.40	21350.67	4.05
201038	53	13.31	18.17	130.51	2.50	1358393.60	21345.68	4.03
201039	56	15.88	20.87	71.25	2.50	1383459.80	21340.70	4.00
201040	29	8.94	21.16	78.90	2.50	1276309.00	21335.72	4.02
201041	54	10.79	23.93	70.53	2.56	1334309.40	21344.58	4.09
201042	78	10.66	26.07	94.50	2.75	1312591.40	21363.83	4.14
201043	64	9.53	26.65	91.38	2.75	1315765.00	21383.10	4.17
201044	53	9.48	27.73	87.94	2.75	1242586.20	21402.38	4.14
201045	79	15.20	20.74	152.58	2.75	1243735.80	21419.23	4.39
201046	114	11.56	28.76	74.25	2.90	1288160.40	21424.63	4.45
201047	68	12.34	25.32	94.87	3.00	1287461.20	21429.63	4.40
201048	72	14.76	36.99	76.93	3.00	1261510.20	21434.63	4.32
201049	28	11.50	18.34	195.16	3.00	1281303.00	21439.62	4.53
201050	71	13.14	30.56	86.38	3.05	1437454.00	21444.49	4.50
201051	83	12.62	24.33	107.40	3.25	1384972.20	21449.33	4.42
201052	84	10.71	25.82	85.96	3.25	1419024.80	21454.17	4.36
201101	27	8.71	20.71	62.99	3.25	1365581.40	21459.01	4.35
201102	24	10.88	20.00	98.59	3.25	1375115.00	21463.86	4.40
201103	19	10.18	18.99	61.61	3.25	1391569.80	21468.70	4.37
201104	30	10.60	46.22	102.01	3.25	1421492.80	21473.55	4.34
201105	40	8.76	18.62	65.63	3.25	1307094.60	21478.39	4.31
201106	200	11.22	23.78	55.76	3.25	1327630.20	21484.21	4.47
201107	64	8.17	18.73	24.57	3.30	1375798.20	21499.33	4.42
201108	66	8.13	23.83	68.00	3.50	1460102.20	21515.44	4.39
201109	161	11.39	20.33	50.52	3.50	1338529.60	21531.56	4.28
201110	76	11.92	24.03	64.38	3.50	1364546.40	21547.14	4.49
201111	88	9.68	21.43	67.08	3.60	1398910.80	21557.41	4.47
201112	52	9.70	22.68	59.61	4.00	1372712.80	21567.14	4.46
201113	44	9.30	21.73	68.11	4.00	1359270.80	21576.87	4.39
201114	45	9.48	22.43	54.74	4.00	1279806.80	21586.61	4.40
201115	146	9.03	20.60	60.46	4.30	1346873.60	21613.74	4.43
201116	29	12.73	23.31	43.76	4.50	1329213.00	21653.96	4.38
201117	23	9.14	20.92	61.04	4.50	1337986.80	21694.26	4.34
201118	80	8.80	18.77	64.18	4.50	1250269.20	21734.63	4.26
201119	72	9.75	22.34	46.64	4.60	1328842.40	21767.73	4.39
201120	58	12.44	22.78	54.61	5.00	1334707.00	21782.46	4.29
201121	47	7.94	22.26	44.87	5.00	1350849.60	21797.19	4.18
201122	36	10.17	21.09	56.14	5.00	1296912.00	21811.94	4.10
201123	23	12.00	22.14	41.03	5.00	1293813.20	21826.86	4.11
201124	101	10.96	20.94	51.02	5.15	1391373.60	21846.25	4.16
201125	35	9.16	22.58	58.72	5.25	1356687.60	21866.60	4.18
201126	48	12.04	22.45	76.01	5.25	1365658.00	21886.98	4.13
201127	40	10.97	22.42	52.68	5.25	1275503.60	21907.38	4.14
201128	26	9.37	25.03	38.93	5.25	1337535.00	21921.78	4.15
201129	44	18.91	24.79	80.05	5.25	1300097.40	21931.67	4.12
201130	40	13.35	24.89	53.11	5.25	1352846.60	21941.57	4.13
201131	35	17.92	20.93	46.35	5.25	1258174.00	21951.47	4.12
201132	35	16.06	20.50	75.97	5.25	1320397.40	21960.53	4.16
201133	24	15.62	23.14	70.37	5.25	1409888.00	21965.62	4.20
201134	40	18.20	20.64	43.62	5.25	1457786.20	21970.58	4.20
201135	39	14.78	28.26	46.25	5.25	1384059.40	21975.54	4.17
201136	35	16.01	22.65	46.76	5.25	1359273.60	21980.50	4.23
201137	32	13.09	22.81	38.90	5.25	1424966.80	21989.24	4.24
201138	42	10.23	23.74	50.67	5.25	1416149.60	21999.49	4.18
201139	30	10.57	23.55	76.84	5.25	1483630.00	22009.75	4.14
201140	20	24.77	21.33	60.60	5.25	1329838.00	22020.02	4.13
201141	21	7.05	24.38	49.70	5.25	1425836.60	22036.51	4.08
201142	39	10.89	21.97	51.21	5.25	1407253.40	22061.35	4.10
201143	52	34.59	23.41	48.93	5.25	1461214.20	22086.21	4.12
201144	13	7.82	25.99	42.20	5.25	1389044.40	22111.09	4.11
201145	37	11.80	22.88	48.25	5.25	1413220.60	22136.08	4.05
201146	33	11.89	23.06	60.40	5.25	1429644.60	22161.79	4.06
201147	36	13.40	23.21	45.82	5.25	1398726.20	22187.59	4.11
201148	46	15.43	24.84	55.76	5.25	1399807.20	22213.43	4.18
201149	35	10.98	24.69	63.94	5.25	1353137.20	22239.29	4.17
